Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Brandon Royval,Tatsuro Taira,,,,,,,,,Flyweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Brad Tavares,JunYong Park,,,,,,,,,Middleweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Grant Dawson,Rafa Garcia,,,,,,,,,Lightweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Abdul Razak Alhassan,Josh Fremd,,,,,,,,,Middleweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Chidi Njokuani,Jared Gooden,,,,,,,,,Welterweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,CJ Vergara,Ramazan Temirov,,,,,,,,,Flyweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Themba Gorimbo,Niko Price,,,,,,,,,Welterweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Chris Barnett,Waldo Cortes-Acosta,,,,,,,,,Heavyweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Dan Argueta,Cody Haddon,,,,,,,,,Bantamweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Clayton Carpenter,Lucas Rocha,,,,,,,,,Flyweight,,,
UFC Fight Night: Royval vs. Taira,"October 12, 2024","Las Vegas, Nevada, USA",,,Polyana Viana,Cory McKenna,,,,,,,,,Women's Strawweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Petr Yan,Deiveson Figueiredo,,,,,,,,,Bantamweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Yan Xiaonan,Tabatha Ricci,,,,,,,,,Women's Strawweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Volkan Oezdemir,Carlos Ulberg,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Song Kenan,Muslim Salikhov,,,,,,,,,Welterweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Wang Cong,Gabriella Fernandes,,,,,,,,,Women's Flyweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Zhang Mingyang,Ozzy Diaz,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Lone'er Kavanagh,Jose Ochoa,,,,,,,,,Flyweight,,,
UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",,,Nyamjargal Tumendemberel,Carlos Hernandez,,,,,,,,,Flyweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Jon Jones,Stipe Miocic,,,,,,,,,Heavyweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Charles Oliveira,Michael Chandler,,,,,,,,,Lightweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Bo Nickal,Paul Craig,,,,,,,,,Middleweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Natalia Silva,Viviane Araujo,,,,,,,,,Women's Flyweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Anthony Smith,Dominick Reyes,,,,,,,,,Light Heavyweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Chris Weidman,Eryk Anders,,,,,,,,,Middleweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Jonathan Martinez,Marcus McGhee,,,,,,,,,Bantamweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Veronica Hardy,Eduarda Moura,,,,,,,,,Women's Flyweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Viviane Araujo,Karine Silva,,,,,,,,,Women's Flyweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Nikita Krylov,Azamat Murzakanov,,,,,,,,,Light Heavyweight,,,
UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",,,Mickey Gall,Ramiz Brahimaj,,,,,,,,,Welterweight,,,
UFC Fight Night,"December 14, 2024","Tampa, Florida, USA",,,Navajo Stirling,Tuco Tokkos,,,,,,,,,Light Heavyweight,,,
UFC 310,"December 07, 2024","Las Vegas, Nevada, USA",,,Anthony Smith,Dominick Reyes,,,,,,,,,Light Heavyweight,,,
UFC Fight Night,"November 09, 2024","Las Vegas, Nevada, USA",,,Mansur Abdul-Malik,Dusko Todorovic,,,,,,,,,Middleweight,,,
UFC Fight Night,"November 09, 2024","Las Vegas, Nevada, USA",,,Luana Pinheiro,Gillian Robertson,,,,,,,,,Women's Strawweight,,,
UFC Fight Night,"November 09, 2024","Las Vegas, Nevada, USA",,,Karolina Kowalkiewicz,Denise Gomes,,,,,,,,,Women's Strawweight,,,
UFC Fight Night,"November 09, 2024","Las Vegas, Nevada, USA",,,Tresean Gore,Antonio Trocoli,,,,,,,,,Middleweight,,,
UFC Fight Night,"November 09, 2024","Las Vegas, Nevada, USA",,,Cody Garbrandt,Miles Johns,,,,,,,,,Bantamweight,,,
UFC Fight Night,"November 09, 2024","Las Vegas, Nevada, USA",,,Reinier de Ridder,Gerald Meerschaert,,,,,,,,,Middleweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Renato Moicano,Benoit Saint Denis,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Nassourdine Imavov,Brendan Allen,,,,,,,,,Middleweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,William Gomis,Joanderson Brito,,,,,,,,,Featherweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Kevin Jousset,Bryan Battle,,,,,,,,,Welterweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Morgan Charriere,Gabriel Miranda,,,,,,,,,Featherweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Fares Ziam,Matt Frevola,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Ion Cutelaba,Ivan Erslan,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Oumar Sy,Da Woon Jung,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Ludovit Klein,Roosevelt Roberts,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Taylor Lapilus,Vince Morales,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Ailin Perez,Daria Zhelezniakova,,,,,,,,,Women's Bantamweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Daniel Barez,Victor Altamirano,,,,,,,,,Flyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Nora Cornolle,Jacqueline Cavalcanti,,,,,,,,,Women's Bantamweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Bolaji Oki,Chris Duncan,,,,,,,,,Lightweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Brandon Moreno,Amir Albazi,,,,,,,,,Flyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Erin Blanchfield,Rose Namajunas,,,,,,,,,Women's Flyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Derrick Lewis,Jhonata Diniz,,,,,,,,,Heavyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Caio Machado,Brendson Ribeiro,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Marc-Andre Barriault,Dustin Stoltzfus,,,,,,,,,Middleweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Mike Malott,Trevin Giles,,,,,,,,,Welterweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Ariane da Silva,Jasmine Jasudavicius,,,,,,,,,Women's Flyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Aiemann Zahabi,Pedro Munhoz,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Charles Jourdain,Victor Henry,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Alexandr Romanov,Rodrigo Nascimento,,,,,,,,,Heavyweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Serhiy Sidey,Garrett Armfield,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Chad Anheliger,Cody Gibson,,,,,,,,,Bantamweight,,,
UFC Fight Night: Moreno vs. Albazi,"November 02, 2024","Edmonton, Alberta, Canada",,,Jamey-Lyn Horth,Ivana Petrovic,,,,,,,,,Women's Flyweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Ilia Topuria,Max Holloway,,,,,,,,,Featherweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Robert Whittaker,Khamzat Chimaev,,,,,,,,,Middleweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Lerone Murphy,Dan Ige,,,,,,,,,Featherweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Magomed Ankalaev,Aleksandar Rakic,,,,,,,,,Light Heavyweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Shara Magomedov,Armen Petrosyan,,,,,,,,,Middleweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Geoff Neal,Rafael Dos Anjos,,,,,,,,,Welterweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Mateusz Rebecki,Myktybek Orolbai,,,,,,,,,Lightweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Said Nurmagomedov,Daniel Santos,,,,,,,,,Bantamweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Abus Magomedov,Brunno Ferreira,,,,,,,,,Middleweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Kennedy Nzechukwu,Justin Tafa,,,,,,,,,Heavyweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Farid Basharat,Victor Hugo,,,,,,,,,Bantamweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Rinat Fakhretdinov,Nursulton Ruziboev,,,,,,,,,Welterweight,,,
UFC 308: Topuria vs. Holloway,"October 26, 2024","Abu Dhabi, Abu Dhabi, United Arab Emirates",,,Ibo Aslan,Rafael Cerqueira,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Anthony Hernandez,Michel Pereira,,,,,,,,,Middleweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Rob Font,Kyler Phillips,,,,,,,,,Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Charles Johnson,Sumudaerji,,,,,,,,,Flyweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Brady Hiestand,Jake Hadley,,,,,,,,,Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Darren Elkins,Daniel Pineda,,,,,,,,,Featherweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Matheus Nicolau,Asu Almabayev,,,,,,,,,Flyweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Brad Katona,Jean Matsumoto,,,,,,,,,Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Joselyne Edwards,Tamires Vidal,,,,,,,,,Women's Bantamweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Jessica Penne,Elise Reed,,,,,,,,,Women's Strawweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Rayanne dos Santos,Alice Ardelean,,,,,,,,,Women's Strawweight,,,
UFC Fight Night: Hernandez vs. Pereira,"October 19, 2024","Las Vegas, Nevada, USA",,,Austen Lane,Robelis Despaigne,,,,,,,,,Heavyweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Alex Pereira,Khalil Rountree Jr.,,,,,,,,,Light Heavyweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Raquel Pennington,Julianna Pena,,,,,,,,,Women's Bantamweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Jose Aldo,Mario Bautista,,,,,,,,,Bantamweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Ketlen Vieira,Kayla Harrison,,,,,,,,,Women's Bantamweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Roman Dolidze,Kevin Holland,,,,,,,,,Middleweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Stephen Thompson,Joaquin Buckley,,,,,,,,,Welterweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Marina Rodriguez,Iasmin Lucindo,,,,,,,,,Women's Strawweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Cesar Almeida,Ihor Potieria,,,,,,,,,Middleweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Carla Esparza,Tecia Pennington,,,,,,,,,Women's Strawweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Ryan Spann,Ovince Saint Preux,,,,,,,,,Light Heavyweight,,,
UFC 307: Pereira vs. Rountree Jr.,"October 05, 2024","Salt Lake City, Utah, USA",,,Court McGee,Tim Means,,,,,,,,,Welterweight,,,
